frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,3,67056,33015,324.71,NaN,NaN,NaN,61481,308.48
1,5,54307,44106,624.18,NaN,NaN,NaN,35737,599.64
2,16,51863,44467,809.14,NaN,NaN,NaN,41832,638.05
2,19,65070,32967,255.63,NaN,NaN,NaN,25578,283.62
4,15,62384,31588,-933.5,NaN,NaN,NaN,25802,405.21
4,16,49376,44883,924.19,NaN,NaN,NaN,41516,662.45
4,19,11960,36966,-732.3,NaN,NaN,NaN,9899.4,578.42
5,2,59233,29255,-1334.3,NaN,NaN,NaN,29145,702.93
6,1,60792,32441,-495.13,NaN,NaN,NaN,66692,284.38
6,17,10025,39523,-1015.3,NaN,NaN,NaN,12045,402.77
7,10,60648,32916,262.57,NaN,NaN,NaN,24529,308.53
7,21,9795.8,39357,-1024.6,NaN,NaN,NaN,8897.3,352.69
8,2,57939,29917,-907.44,NaN,NaN,NaN,40393,601.07
8,13,49841,29809,-22748,NaN,NaN,NaN,28794,541.21
8,17,1.6805e+05,1.0562e+05,6.4532e+05,NaN,NaN,NaN,9873.2,369.76
9,2,57368,29898,-910.88,NaN,NaN,NaN,40459,616.63
10,18,48466,29510,-24042,NaN,NaN,NaN,32815,568.9
12,4,56748,29899,2153.3,NaN,NaN,NaN,40590,720.85
12,14,9853.7,39392,-1132.3,NaN,NaN,NaN,6048.7,312.85
13,2,56789,32887,573.04,NaN,NaN,NaN,49369,402.91
15,1,56248,32253,-758.83,NaN,NaN,NaN,61060,458.16
16,1,55759,32226,-512.45,NaN,NaN,NaN,52125,455.73
17,1,55205,32245,-468.38,NaN,NaN,NaN,54865,476.29
18,1,54838,32285,-822.56,NaN,NaN,NaN,59184,492.55
18,11,55757,29095,25486,NaN,NaN,NaN,4621.4,1145.3
18,12,55016,32633,473.51,NaN,NaN,NaN,23446,406.94
19,1,54503,32316,-709.92,NaN,NaN,NaN,56334,497.25
19,13,66551,33476,68911,NaN,NaN,NaN,8567.7,1127.4
19,14,54835,29491,-479.4,NaN,NaN,NaN,16536,522.62
20,1,56157,32815,5210.9,NaN,NaN,NaN,61606,533.2
20,8,54518,32439,252.47,NaN,NaN,NaN,29846,425.24
20,10,50014,29496,-13376,NaN,NaN,NaN,44645,515.95
20,14,1.1308e+05,52875,2.5919e+05,NaN,NaN,NaN,9790.1,1111.9
21,1,53773,32266,-925.73,NaN,NaN,NaN,58687,527.39
21,9,53864,32728,476.95,NaN,NaN,NaN,30525,439.12
22,1,53106,32271,-1281.6,NaN,NaN,NaN,64014,534.08
23,1,52657,32387,-193.91,NaN,NaN,NaN,59976,546.67
23,7,91301,47394,1.5495e+05,NaN,NaN,NaN,41159,631.49
24,1,52451,32264,-1056.7,NaN,NaN,NaN,59284,580.3
24,4,40145,25159,-1072.3,NaN,NaN,NaN,6019.8,1307.3
24,8,90560,47263,1.5395e+05,NaN,NaN,NaN,45226,657.55
24,9,40680,24446,-39444,NaN,NaN,NaN,46136,653.42
25,1,51888,32379,61.569,NaN,NaN,NaN,61111,584.82
25,7,48535,26543,-1370.8,NaN,NaN,NaN,10585,1044.7
26,1,51399,32444,639.18,NaN,NaN,NaN,64720,608.2
26,6,55179,33107,10134,NaN,NaN,NaN,40316,601.11
26,8,50189,31619,-3881.7,NaN,NaN,NaN,46617,562.84
27,1,51427,32266,-1294.1,NaN,NaN,NaN,61801,628.94
27,5,51718,32468,224.03,NaN,NaN,NaN,38518,524.28
27,9,73564,36451,98690,NaN,NaN,NaN,10751,1011.2
27,10,50636,32565,-445.49,NaN,NaN,NaN,48099,573.54
28,1,48435,29079,-10503,NaN,NaN,NaN,60610,633.27
29,4,1.1371e+05,57890,2.5499e+05,NaN,NaN,NaN,47066,674.23
29,7,62348,31906,53862,NaN,NaN,NaN,8554.8,977.76
30,1,49693,32197,-466.1,NaN,NaN,NaN,59146,680.57
30,6,48783,26143,570.91,NaN,NaN,NaN,10823,912.81
30,10,25989,50901,-600.85,NaN,NaN,NaN,12462,254.64
31,1,49372,32320,-983.61,NaN,NaN,NaN,58945,707.02
31,6,49046,26701,-62.951,NaN,NaN,NaN,10829,935.02
31,7,51433,31822,-828.57,NaN,NaN,NaN,33572,568.56
31,9,25997,50914,-726.58,NaN,NaN,NaN,12272,248.98
32,1,48675,32394,-428.24,NaN,NaN,NaN,62882,722.62
32,6,48610,26073,670.39,NaN,NaN,NaN,8788,899.16
33,3,48831,26116,487.03,NaN,NaN,NaN,12268,853.02
