frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,3,53680,47790,-1187.4,NaN,NaN,NaN,29416,794.92
1,5,53765,44308,-926.72,NaN,NaN,NaN,26600,816.02
2,6,33849,57885,-34.464,NaN,NaN,NaN,33903,721.82
3,1,55502,22364,-706.93,NaN,NaN,NaN,47655,390.12
3,2,55401,23160,464.44,NaN,NaN,NaN,52827,360.31
3,8,76445,75544,1.6918e+05,NaN,NaN,NaN,15445,636.28
4,2,52806,20014,-1202.3,NaN,NaN,NaN,40842,604.37
4,4,48828,48108,-507.76,NaN,NaN,NaN,19599,927.1
4,5,1.3594e+05,1.0091e+05,4.1638e+05,NaN,NaN,NaN,18863,603.4
4,29,46453,12438,-1308.7,NaN,NaN,NaN,11169,1226.7
4,43,15653,38787,103.65,NaN,NaN,NaN,22001,750.77
5,2,48322,48173,-602.87,NaN,NaN,NaN,19399,926.94
5,4,32746,57944,-184.8,NaN,NaN,NaN,36330,621.56
5,22,46318,12404,-1512.4,NaN,NaN,NaN,8159.7,1189.3
6,1,52409,22254,-600.27,NaN,NaN,NaN,48940,423.44
6,3,47733,48064,-475.08,NaN,NaN,NaN,20985,932.57
6,4,32759,58209,-939.24,NaN,NaN,NaN,35742,581.74
6,26,33407,47460,-810.76,NaN,NaN,NaN,7488.1,1296.6
6,27,34221,52175,385.49,NaN,NaN,NaN,24592,972.56
6,30,24521,58058,-44.868,NaN,NaN,NaN,44136,511.89
7,2,32189,58086,52.485,NaN,NaN,NaN,40856,558.16
7,12,32694,47723,-945,NaN,NaN,NaN,12225,1245.3
7,30,35383,43780,780.71,NaN,NaN,NaN,11641,1281.7
7,31,57664,71637,1.2943e+05,NaN,NaN,NaN,51690,486.02
8,1,50390,22178,-375.42,NaN,NaN,NaN,47514,470.55
8,2,47171,48114,-488.39,NaN,NaN,NaN,21502,912.34
8,3,32222,58240,-955.21,NaN,NaN,NaN,41451,535.14
8,5,50189,23642,809.54,NaN,NaN,NaN,51054,436.45
8,23,31903,47576,-1090,NaN,NaN,NaN,14032,1222.7
8,33,31194,36118,-238,NaN,NaN,NaN,8659.9,1359.1
8,35,45537,44846,-1047.1,NaN,NaN,NaN,18611,1056.6
8,38,45433,23555,-6368.8,NaN,NaN,NaN,24362,547.77
9,1,49598,22236,-442.01,NaN,NaN,NaN,45946,479.05
9,2,46625,48068,-363.8,NaN,NaN,NaN,24531,923.11
9,4,32567,49976,-200.41,NaN,NaN,NaN,15659,1009.6
9,5,32303,58330,-1211.2,NaN,NaN,NaN,50412,519.21
9,22,49765,23394,278.75,NaN,NaN,NaN,16969,398.32
9,32,17151,45882,-1121.6,NaN,NaN,NaN,41419,601.36
9,37,16484,44931,-48.787,NaN,NaN,NaN,34822,566.64
10,2,32090,58308,-1288.3,NaN,NaN,NaN,48476,499.84
10,4,46316,48034,-375.42,NaN,NaN,NaN,25127,903.65
10,13,30900,42395,-4115.6,NaN,NaN,NaN,10942,1186.9
10,18,30861,48083,-1101.2,NaN,NaN,NaN,20930,1146.9
10,19,57910,23833,42220,NaN,NaN,NaN,45503,805.01
10,27,16502,44935,-73.175,NaN,NaN,NaN,33944,555.1
10,28,36651,49723,256.29,NaN,NaN,NaN,20638,957.39
11,2,31544,49975,-363.87,NaN,NaN,NaN,22645,966.67
11,3,46092,48070,-460.99,NaN,NaN,NaN,27638,897.07
11,4,47289,64332,59477,NaN,NaN,NaN,54789,488.28
11,20,37252,17318,-31084,NaN,NaN,NaN,33702,609.64
11,21,47113,17938,100.28,NaN,NaN,NaN,19794,732.76
11,24,31321,43737,-1336.5,NaN,NaN,NaN,18182,1183.3
11,28,38700,59487,24.537,NaN,NaN,NaN,33403,488
11,29,36711,49970,-44.575,NaN,NaN,NaN,22061,913.03
12,2,64617,71488,1.2935e+05,NaN,NaN,NaN,46367,476.04
12,7,45756,48073,-466.51,NaN,NaN,NaN,27808,894.71
12,18,47177,21928,-1126.1,NaN,NaN,NaN,27345,564.07
12,22,30172,43733,-1281.2,NaN,NaN,NaN,17203,1192.7
12,30,36640,49687,165.6,NaN,NaN,NaN,20786,900.75
13,2,30426,49963,-359.32,NaN,NaN,NaN,25211,934.97
13,3,2.1225e+05,1.3433e+05,7.4018e+05,NaN,NaN,NaN,58684,460.59
13,13,46555,21906,-1088.5,NaN,NaN,NaN,30234,576
13,17,35181,15895,-36175,NaN,NaN,NaN,39759,610.91
13,19,2.481e+05,1.3628e+05,9.0004e+05,NaN,NaN,NaN,19040,1200.6
13,23,17160,45571,-1370.5,NaN,NaN,NaN,44226,560.8
13,24,32479,49634,10463,NaN,NaN,NaN,24772,1082.3
13,31,29473,45104,875.84,NaN,NaN,NaN,5301,1117.7
14,2,2.4633e+05,1.4897e+05,8.8144e+05,NaN,NaN,NaN,57910,450.51
14,3,30097,50037,-364.12,NaN,NaN,NaN,22420,918.67
14,14,16900,45256,-592.96,NaN,NaN,NaN,45746,534.76
14,20,49096,56416,110.53,NaN,NaN,NaN,30257,467.64
14,24,36788,50056,-929.14,NaN,NaN,NaN,21897,837.45
14,25,44262,54260,-36.792,NaN,NaN,NaN,45402,762.16
14,26,28134,43853,171.67,NaN,NaN,NaN,21858,1213.9
14,28,37265,46023,124.01,NaN,NaN,NaN,8196.5,935.73
14,32,23732,22764,-721.79,NaN,NaN,NaN,13308,878.52
14,35,21657,53280,-945.54,NaN,NaN,NaN,46796,540.37
14,36,29758,44850,-1398,NaN,NaN,NaN,5007.6,1092.6
15,2,145.5,15406,-1.5374e+05,NaN,NaN,NaN,63504,438.79
15,5,29425,50097,-605.63,NaN,NaN,NaN,32820,915.31
15,14,45609,21864,-809.73,NaN,NaN,NaN,35568,579
15,16,67627,65902,2.0238e+05,NaN,NaN,NaN,47697,541.43
15,18,36836,50099,-1284.4,NaN,NaN,NaN,21961,807.12
15,22,44197,49697,242.83,NaN,NaN,NaN,35024,866.14
15,30,23747,22768,-638.69,NaN,NaN,NaN,14030,847.33
15,33,38717,59429,106.34,NaN,NaN,NaN,31673,434.47
16,1,2.8702e+05,1.6651e+05,1.0511e+06,NaN,NaN,NaN,62577,429.66
16,5,31425,55834,-238.11,NaN,NaN,NaN,43381,546.11
16,10,16909,44709,-20.64,NaN,NaN,NaN,48864,515.51
16,13,80927,71441,2.5704e+05,NaN,NaN,NaN,45229,523.91
16,14,36765,50177,-810.33,NaN,NaN,NaN,21882,776.09
16,18,47110,17820,55.146,NaN,NaN,NaN,18164,542.85
16,19,45187,23297,227.45,NaN,NaN,NaN,22973,472.95
16,20,44822,47868,139.85,NaN,NaN,NaN,23010,813.87
16,21,45892,19742,-201.62,NaN,NaN,NaN,26254,573.05
16,22,38752,59221,130.76,NaN,NaN,NaN,30087,432.33
16,23,20565,49409,-86.633,NaN,NaN,NaN,40384,631.78
16,25,23922,22618,-635.42,NaN,NaN,NaN,24251,825.38
16,27,22793,16162,230.87,NaN,NaN,NaN,18521,688.01
16,32,28747,49267,283.34,NaN,NaN,NaN,25432,944.45
16,37,1.0069e+05,68082,2.8552e+05,NaN,NaN,NaN,1336.2,1005.4
17,1,2.376e+05,1.4528e+05,8.4636e+05,NaN,NaN,NaN,62379,420.16
17,9,36847,49967,-921.39,NaN,NaN,NaN,18784,763.94
17,10,16927,44707,-2.1862,NaN,NaN,NaN,47359,498.46
17,15,1.1025e+05,88068,3.2053e+05,NaN,NaN,NaN,46993,589.79
17,19,24002,22519,-1388.5,NaN,NaN,NaN,25932,781.85
17,25,23991,9652.5,-969.24,NaN,NaN,NaN,2631.4,744.74
17,27,16829,35693,-4394.3,NaN,NaN,NaN,17326,787.17
17,29,45492,48010,-764.66,NaN,NaN,NaN,16247,780.37
17,32,37442,52617,-490.65,NaN,NaN,NaN,20930,663.31
17,41,20608,49416,-23.363,NaN,NaN,NaN,40161,617.25
17,42,22795,16252,564.3,NaN,NaN,NaN,20600,702.78
17,43,38402,59229,-44.777,NaN,NaN,NaN,16036,421.56
18,1,1.819e+05,1.2145e+05,6.1585e+05,NaN,NaN,NaN,60687,409.24
18,2,24772,58352,-600.59,NaN,NaN,NaN,45555,389.49
18,6,23918,22640,-1007.6,NaN,NaN,NaN,24535,771.78
18,7,36762,49843,-483.65,NaN,NaN,NaN,18091,734.95
18,9,37466,52177,21.124,NaN,NaN,NaN,25150,658.9
18,12,45483,47884,-1080.3,NaN,NaN,NaN,23508,764.1
18,14,-1748.8,-2305.7,-1.2355e+05,NaN,NaN,NaN,10728,1016.2
18,16,37580,44780,-29.539,NaN,NaN,NaN,7920.7,847.78
18,17,22889,15773,-479.04,NaN,NaN,NaN,19134,689.55
18,24,17945,37130,87.874,NaN,NaN,NaN,16805,763.3
