frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,4,1.3714e+05,89622,4.7378e+05,NaN,NaN,NaN,48008,458.67
1,7,21715,45710,-246.21,NaN,NaN,NaN,21832,338.07
1,8,29899,46325,576.96,NaN,NaN,NaN,35076,433.74
1,16,20905,43666,103.72,NaN,NaN,NaN,27242,362.12
2,4,23118,34583,467.62,NaN,NaN,NaN,24333,570.97
2,6,30904,46505,-1298.4,NaN,NaN,NaN,32640,361.31
2,7,21780,41383,-700.98,NaN,NaN,NaN,48068,417.16
2,11,21897,45794,-337.8,NaN,NaN,NaN,18128,292.62
2,15,19912,40997,-484.91,NaN,NaN,NaN,29145,330.69
2,17,19107,41618,104.39,NaN,NaN,NaN,11760,283.53
3,3,20914,41810,-675.88,NaN,NaN,NaN,40969,318.2
3,6,2.4291e+05,1.3489e+05,9.0764e+05,NaN,NaN,NaN,42587,376.74
3,8,24329,47236,-1268,NaN,NaN,NaN,31142,282.17
3,10,77804,56545,1.9015e+05,NaN,NaN,NaN,15888,536.5
3,19,28012,34237,-1457.6,NaN,NaN,NaN,2085,556.78
3,20,19898,40959,-391.97,NaN,NaN,NaN,26608,299.6
4,3,23885,46858,-743.25,NaN,NaN,NaN,26378,265.83
4,9,32538,44706,-655.41,NaN,NaN,NaN,28078,327.51
4,11,23303,34552,241.43,NaN,NaN,NaN,16864,478.56
4,13,21617,41270,250.83,NaN,NaN,NaN,41380,349.55
4,16,30596,49780,71.032,NaN,NaN,NaN,18686,233.72
4,17,21045,33957,-1.5392,NaN,NaN,NaN,6814,419.6
4,20,19101,41643,166.2,NaN,NaN,NaN,9735.9,246.35
5,8,32205,43886,-364.09,NaN,NaN,NaN,22744,329.61
5,10,30139,45710,-6.6041,NaN,NaN,NaN,24651,302.34
5,13,1.5299e+05,86507,5.0742e+05,NaN,NaN,NaN,5204.7,477.73
5,17,29218,36980,-1295.8,NaN,NaN,NaN,12739,466.63
5,19,19347,41328,85.371,NaN,NaN,NaN,14076,238.74
5,20,75887,55799,1.831e+05,NaN,NaN,NaN,13111,460.41
5,23,21007,43691,80.721,NaN,NaN,NaN,15604,241.81
6,2,37648,43283,-728.27,NaN,NaN,NaN,21139,248.27
6,4,22775,38327,362.65,NaN,NaN,NaN,20201,381.74
6,6,21629,41059,31.819,NaN,NaN,NaN,34008,311.18
6,14,23269,34603,184.22,NaN,NaN,NaN,13670,423.27
6,17,28875,36920,-819.5,NaN,NaN,NaN,9593.5,447.01
6,22,7294.6,24807,-68258,NaN,NaN,NaN,16828,236.91
7,9,23167,34549,-1.3617,NaN,NaN,NaN,13374,400.69
7,11,30212,45777,-11.338,NaN,NaN,NaN,22115,270.27
7,12,69401,61250,1.9437e+05,NaN,NaN,NaN,31517,264.74
7,14,-4191.9,1609.9,-1.3276e+05,NaN,NaN,NaN,17874,361.05
8,1,37715,43352,-1174.9,NaN,NaN,NaN,18906,225.26
8,3,23249,34528,213.61,NaN,NaN,NaN,11887,366.73
8,5,22761,38823,402.2,NaN,NaN,NaN,16592,332.49
8,18,30529,49857,218.26,NaN,NaN,NaN,16671,196.15
9,1,21688,41172,5.7726,NaN,NaN,NaN,33328,261.14
9,4,22705,38920,248.38,NaN,NaN,NaN,16905,313.3
9,5,30555,49952,232.79,NaN,NaN,NaN,15226,189.94
9,6,37739,43422,-1235.1,NaN,NaN,NaN,16264,217.1
9,7,83816,59964,2.4572e+05,NaN,NaN,NaN,9658.9,347.07
9,18,20585,41045,-185.4,NaN,NaN,NaN,22982,235.03
9,19,28690,36786,-31.931,NaN,NaN,NaN,8402,371.47
9,21,34790,35326,76.746,NaN,NaN,NaN,7434.6,329.46
10,1,-836.57,2027,-1.1803e+05,NaN,NaN,NaN,9682.3,334.99
10,3,22752,38762,367.84,NaN,NaN,NaN,15588,307.32
10,7,20519,40925,31.518,NaN,NaN,NaN,22022,228.99
10,13,37715,43440,-1290.6,NaN,NaN,NaN,14614,214.83
10,15,30481,49739,-36.914,NaN,NaN,NaN,14551,186.69
10,19,28623,36678,-239.57,NaN,NaN,NaN,7093.4,358.58
11,4,30192,45914,246.71,NaN,NaN,NaN,19520,231.56
11,8,30488,49868,103.44,NaN,NaN,NaN,14090,181.38
