#track,frame,x,y,z
1,73,35969.0,66790.0,-11231.0
2,74,27408.0,23909.0,-1125.1
2,75,27316.0,23845.0,-1269.4
2,76,27186.0,23845.0,-642.12
2,77,27136.0,23882.0,-729.18
2,78,27033.0,23831.0,-536.19
2,79,27120.0,23836.0,-724.43
2,81,26747.0,23406.0,-836.08
2,82,26929.0,23336.0,-727.79
2,84,26886.0,23293.0,-484.94
2,85,26757.0,23319.0,-917.4
2,87,26810.0,23471.0,-953.38
2,88,26886.0,23139.0,-1118.0
3,74,27982.0,27488.0,-415.73
4,74,267020.0,163880.0,927360.0
5,74,39467.0,70003.0,4.764
6,73,50778.0,55580.0,-86.671
6,75,50555.0,55595.0,-238.48
7,73,6332.1,6916.2,-75899.0
8,64,56664.0,51916.0,-542.3
9,64,38255.0,70231.0,242.07
9,65,38226.0,70366.0,221.14
10,1,42414.0,10895.0,-997.06
11,64,39314.0,69914.0,77.134
12,65,33278.0,53670.0,-1368.1
12,66,33273.0,53600.0,-1299.3
13,65,50912.0,55534.0,154.53
14,65,255770.0,120190.0,941150.0
15,66,50531.0,47857.0,-1509.9
16,66,21128.0,54393.0,104.3
17,66,9806.1,26113.0,-152880.0
18,66,25426.0,31371.0,-608.01
19,67,38550.0,53902.0,-19377.0
20,67,26788.0,23449.0,-1321.4
20,68,26540.0,23497.0,-949.16
20,69,26763.0,23418.0,-692.69
20,70,26850.0,23299.0,-1114.8
20,71,26739.0,23428.0,-484.63
20,72,26757.0,23427.0,-197.33
21,67,17031.0,35784.0,-117680.0
22,68,39077.0,5236.6,715.19
23,68,29817.0,9695.9,2695.2
24,68,9017.0,14899.0,-47571.0
25,68,47723.0,61578.0,1322.4
26,68,244550.0,118910.0,887170.0
27,68,38461.0,70239.0,288.96
27,70,37898.0,70418.0,473.54
28,68,7643.4,22296.0,-165670.0
29,68,107450.0,97939.0,269340.0
30,69,20186.0,25583.0,-16.264
31,69,16047.0,33444.0,242.47
32,69,18832.0,28277.0,-502.21
32,70,19089.0,28519.0,-847.72
32,71,18875.0,28137.0,-600.79
32,72,18700.0,28137.0,-916.7
32,73,18987.0,28191.0,-914.71
32,74,18666.0,28015.0,-218.38
32,75,18625.0,28121.0,-672.21
33,69,26100.0,31290.0,-484.35
33,70,26231.0,31295.0,-728.44
34,70,50495.0,52345.0,-246.42
35,70,42877.0,63398.0,495.85
35,71,42690.0,63574.0,2.159
35,72,42726.0,63327.0,59.908
35,73,42719.0,63967.0,-208.53
36,70,50886.0,55926.0,104.6
37,70,48630.0,61438.0,16130.0
38,70,19191.0,38266.0,-108030.0
39,71,47970.0,61508.0,-1126.1
40,71,45909.0,38523.0,83315.0
41,71,26001.0,48651.0,-71240.0
42,71,27680.0,54999.0,-53773.0
43,72,192080.0,121650.0,605970.0
44,72,22286.0,28416.0,-694.85
45,72,20584.0,30796.0,248.77
46,73,47075.0,53262.0,673.93
47,73,15900.0,33781.0,3.054
47,75,15957.0,33430.0,112.31
47,77,15893.0,33659.0,-25.086
47,78,15985.0,33457.0,278.3
47,79,15898.0,33690.0,305.08
48,1,58905.0,50036.0,926.35
49,1,39268.0,70079.0,147.9
49,3,39807.0,69937.0,87.532
49,5,39349.0,70117.0,4.0383
49,7,39731.0,70237.0,211.55
